1ยน. 4:8
Act 3:19
Acts 10:34
Acts 13:23
Acts 15:8
Acts 17:24
Acts 17:27
Acts 17:31
Acts 22:14
Acts 26:15
Acts 2:17
Acts 2:28
Acts 3:18
Acts 3:22
Acts 3:3
Acts 4:10
Acts 4:29
Acts 5:12
Acts 5:20
Acts 8:22
Acts 9:32
Amos 5:14
Amos 5:24
Chronicles 13:10
Chronicles 15:2
Chronicles 16:8
Chronicles 20:20
Chronicles 20:21
Chronicles 20:9
Chronicles 23:16
Chronicles 27:6
Chronicles 6:33
Chronicles 7:14
Colossians 1:13
Colossians 1:15
Colossians 2:6
Colossians 3:1
Colossians 3:12
Colossians 3:22
Colossians 4:2
Colossians 4:6
Corinthians 10:17
Corinthians 10:23
Corinthians 10:31
Corinthians 11:32
Corinthians 12:10
Corinthians 12:9
Corinthians 15:44
Corinthians 15:58
Corinthians 16:13
Corinthians 16:19
Corinthians 1:10
Corinthians 1:12
Corinthians 1:21
Corinthians 1:27
Corinthians 1:3
Corinthians 1:8
Corinthians 2:11
Corinthians 2:7
Corinthians 3:16
Corinthians 3:17
Corinthians 3:18
Corinthians 4:16
Corinthians 4:5
Corinthians 5:14
Corinthians 5:15
Corinthians 5:17
Corinthians 5:7
Corinthians 6:20
Corinthians 8:14
Corinthians 9:23
Daniel 12:3
Daniel 2:20
Daniel 4:1
Daniel 6:25
Daniel 6:26
Deuteronomy 10:14
Deuteronomy 10:17
Deuteronomy 10:18
Deuteronomy 11:1
Deuteronomy 1:17
Deuteronomy 1:30
Deuteronomy 23:5
Deuteronomy 24:14
Deuteronomy 33:12
Deuteronomy 33:3
Deuteronomy 4:9
Deuteronomy 7:9
Deuteronomy 8:2
Deuteronomy 8:3
Ecclesiastes 10:12
Ecclesiastes 11:9
Ecclesiastes 12:14
Ecclesiastes 3:11
Ecclesiastes 3:14
Ecclesiastes 3:16
Ecclesiastes 5:12
Ecclesiastes 6:7
Ecclesiastes 7:29
Ecclesiastes 7:9
Ecclesiastes 9:1
Ecclesiastes 9:11
Ecclesiastes 9:16
Ephesians 2:10
Ephesians 3:17
Ephesians 3:20
Ephesians 4:1
Ephesians 4:25
Ephesians 4:26
Ephesians 4:31
Ephesians 5:1
Ephesians 5:10
Ephesians 5:15
Ephesians 5:8
Ephesians 6:1
Ephesians 6:5
Exodus 14:21
Exodus 15:26
Exodus 16:4
Exodus 20:12
Exodus 20:13
Exodus 20:14
Exodus 20:15
Exodus 20:16
Exodus 20:17
Exodus 20:20
Exodus 20:3
Exodus 20:4
Exodus 20:7
Exodus 20:8
Exodus 3:7
Ezekiel 11:21
Ezekiel 18:23
Ezekiel 18:32
Ezekiel 33:18
Ezekiel 34:31
Ezekiel 36:26
Ezra 1:3
Ezra 8:22
Galatians 1:3
Galatians 1:4
Galatians 1:6
Galatians 3:22
Galatians 3:27
Galatians 3:6
Galatians 5:1
Galatians 5:14
Galatians 5:5
Galatians 6:1
Genesis 18:19
Genesis 1:1
Genesis 1:14
Genesis 1:20
Genesis 1:24
Genesis 1:28
Genesis 1:3
Genesis 1:6
Genesis 1:9
Genesis 2:1
Genesis 2:10
Genesis 2:15
Genesis 2:18
Genesis 2:4
Genesis 2:8
Genesis 35:2
Genesis 3:1
Genesis 3:14
Genesis 3:20
Genesis 3:8
Genesis 4:7
Habakkuk 2:4
Habakkuk 3:13
Habakkuk 3:17
Habakkuk 3:18
Hebrews 10:23
Hebrews 10:26
Hebrews 10:35
Hebrews 10:37
Hebrews 11:1
Hebrews 11:6
Hebrews 12:1
Hebrews 12:10
Hebrews 12:11
Hebrews 12:12
Hebrews 12:14
Hebrews 12:3
Hebrews 13:1
Hebrews 13:12
Hebrews 13:16
Hebrews 9:27
Hosea 10:12
Hosea 12:6
Hosea 13:4
Hosea 14:9
Hosea 6:1
Hosea 6:3
Isaiah 11:4
Isaiah 12:2
Isaiah 12:3
Isaiah 12:4
Isaiah 13:11
Isaiah 25:9
Isaiah 26:3
Isaiah 26:7
Isaiah 29:18
Isaiah 30:18
Isaiah 32:1
Isaiah 32:16
Isaiah 33:2
Isaiah 35:3
Isaiah 3:10
Isaiah 40:8
Isaiah 41:17
Isaiah 43:10
Isaiah 43:13
Isaiah 45:22
